file	energy	H-bond
md_610k_snap_43.com	-781.7995669537177	N83-H88_O119,O1-H123_O89,O48-H127_O79
md_610k_snap_44.com	-799.0114034502648	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O48,O110-H126_O112,O48-H127_O79
md_610k_snap_45.com	-799.0145587678766	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O48,O110-H126_O112,O48-H127_O79
md_610k_snap_46.com	-797.6933792810462	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O48,O112-H129_O110,O48-H127_O79
md_610k_snap_47.com	-797.8113419525389	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O48,O112-H129_O110,O48-H127_O79
md_610k_snap_48.com	-798.1075687163524	N120-H122_O28,N19-H130_N115,N83-H88_O119,O1-H123_O48,O112-H129_O110,O48-H127_O79
md_610k_snap_49.com	-796.4560959542185	N120-H122_O28,N19-H130_N115,N83-H88_O119,O112-H129_O110,O48-H127_O79
md_610k_snap_50.com	-796.5038815560818	N120-H122_O28,N19-H130_N115,N83-H88_O119,O112-H129_O110,O48-H127_O79
md_610k_snap_51.com	-795.5446790837314	N120-H122_O28,N19-H130_N115,N83-H88_N115,O1-H123_O119,O112-H129_O110,O48-H127_O79
md_610k_snap_52.com	-788.5237346334301	N83-H88_N115,O1-H123_N115,O1-H123_O119,O112-H129_O110,O48-H127_O79
md_610k_snap_53.com	-788.274821570202	N83-H88_N115,O1-H123_N115,O1-H123_O119,O112-H129_O110,O48-H127_O79
md_610k_snap_54.com	-788.7738229474105	N83-H88_N115,O1-H123_O119,O112-H129_O110,O48-H127_N81
md_610k_snap_55.com	-790.457680601283	N83-H88_N115,N83-H88_O119,O1-H123_O119,O112-H129_O110,O48-H127_N81
md_610k_snap_56.com	-790.352559364757	N83-H88_N115,N83-H88_O119,O1-H123_O119,O112-H129_O110,O48-H127_N81
md_610k_snap_57.com	-791.0482955091683	N83-H88_N115,N83-H88_O119,O1-H123_O119,O112-H129_O110,O48-H127_N81
md_610k_snap_58.com	-800.8705093881874	N83-H88_O119,O1-H123_O119,O110-H126_O47,O112-H129_O110
md_610k_snap_59.com	-798.8564351030963	N83-H88_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47,O112-H129_O110,O48-H127_N81
md_610k_snap_60.com	-800.3961404270103	N83-H88_O119,O1-H123_O119,O110-H126_O47,O112-H129_O110
md_610k_snap_61.com	-799.4578836753636	N83-H88_O119,O1-H123_O119,O110-H126_O47,O112-H129_O110
md_610k_snap_62.com	-800.3774137390992	N83-H88_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47,O112-H129_O110
md_610k_snap_63.com	-800.2439553563958	N83-H88_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47,O112-H129_O110
md_610k_snap_64.com	-800.3082259082157	N83-H88_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47,O112-H129_O110
md_610k_snap_65.com	-800.0438650023591	N83-H88_O119,O1-H123_O119,O110-H126_O47,O112-H129_O110
md_610k_snap_66.com	-800.8754179682597	N83-H88_N115,N83-H88_O119,O1-H123_O119,O110-H126_O47,O112-H129_O110
md_610k_snap_67.com	-800.8807545076556	N83-H88_O119,O1-H123_O119,O110-H126_O47,O112-H129_O110
md_610k_snap_68.com	-800.6761349518164	N83-H88_O119,O1-H123_O119,O110-H126_O47,O112-H129_O110
